wo_id,property_id,description,status,estimated_cost,actual_cost,opened_date,closed_date,capex_flag
WO-9000,P001,Boiler efficiency tune-up,closed,57544,50078,2026-02-26,2026-04-23,true
WO-9001,P001,Security camera firmware upgrade,closed,57138,64267,2025-12-04,2026-04-18,true
WO-9002,P001,Waterproofing — foundation wall,closed,1378,1245,2025-12-02,2026-02-13,false
WO-9003,P001,Boiler efficiency tune-up,closed,9188,8652,2025-12-15,2026-02-08,false
WO-9004,P001,Boiler efficiency tune-up,open,9660,0,2026-01-14,,false
WO-9005,P001,HVAC rooftop unit compressor replacement,closed,4438,3908,2025-11-14,2026-01-18,false
WO-9006,P002,Waterproofing — foundation wall,open,6411,0,2026-03-28,,false
WO-9007,P002,Signage update — new tenant,closed,11658,12745,2025-11-03,2025-11-12,false
WO-9008,P002,Landscape irrigation overhaul,closed,87290,91572,2025-11-06,2026-01-11,true
WO-9009,P002,Parking lot crack sealing,closed,6342,6649,2026-01-01,2026-04-16,false
WO-9010,P002,Elevator modernization phase 1,open,133827,0,2026-01-07,,true
WO-9011,P002,HVAC rooftop unit compressor replacement,closed,9022,9990,2025-11-24,2026-04-09,false
WO-9012,P002,Fire panel annual service,open,54082,0,2026-02-15,,true
WO-9013,P002,Elevator modernization phase 1,closed,3868,4013,2026-01-29,2026-02-08,false
WO-9014,P002,Landscape irrigation overhaul,closed,110252,123517,2026-01-23,2026-04-23,true
WO-9015,P002,Elevator modernization phase 1,open,10969,0,2026-02-21,,false
WO-9016,P002,Waterproofing — foundation wall,closed,814,932,2026-03-04,2026-04-12,false
WO-9017,P002,Roof membrane leak repair,in_progress,7141,0,2026-02-16,,false
WO-9018,P003,HVAC rooftop unit compressor replacement,closed,143283,125344,2026-03-05,2026-04-18,true
WO-9019,P003,HVAC rooftop unit compressor replacement,open,6533,0,2025-12-06,,false
WO-9020,P003,Landscape irrigation overhaul,closed,9169,8921,2026-02-22,2026-04-20,false
WO-9021,P003,Lobby lighting retrofit to LED,closed,5621,5555,2025-11-07,2026-04-16,false
WO-9022,P003,Boiler efficiency tune-up,closed,3319,3451,2026-04-09,2026-04-18,false
WO-9023,P003,Landscape irrigation overhaul,open,13474,0,2026-03-02,,false
WO-9024,P004,Exterior paint refresh,in_progress,8891,0,2026-03-20,,false
WO-9025,P004,Elevator modernization phase 1,open,26285,0,2026-02-27,,true
WO-9026,P004,Roof membrane leak repair,in_progress,2801,0,2026-01-04,,false
WO-9027,P004,Fire panel annual service,closed,8275,7311,2025-11-03,2025-12-13,false
WO-9028,P004,Waterproofing — foundation wall,open,9282,0,2026-03-07,,false
WO-9029,P004,Exterior paint refresh,open,5071,0,2026-02-04,,false
WO-9030,P004,HVAC rooftop unit compressor replacement,closed,177209,176486,2026-02-05,2026-04-16,true
WO-9031,P005,Exterior paint refresh,closed,5560,6201,2025-11-24,2026-04-15,false
WO-9032,P005,Exterior paint refresh,open,8026,0,2025-12-09,,false
WO-9033,P005,Tenant buildout — new suite,closed,10324,9004,2025-10-28,2026-04-07,false
WO-9034,P005,Landscape irrigation overhaul,closed,7432,7495,2026-02-14,2026-02-18,false
WO-9035,P005,Boiler efficiency tune-up,closed,128782,120252,2026-03-07,2026-03-12,true
WO-9036,P005,Waterproofing — foundation wall,closed,132970,119361,2026-03-05,2026-03-23,true
WO-9037,P005,Tenant buildout — new suite,closed,4069,3802,2025-11-20,2026-04-19,false
WO-9038,P006,HVAC rooftop unit compressor replacement,in_progress,8122,0,2026-02-14,,false
WO-9039,P006,Lobby lighting retrofit to LED,open,902,0,2026-03-19,,false
WO-9040,P006,Security camera firmware upgrade,closed,9572,10571,2025-12-11,2026-03-22,false
WO-9041,P006,Exterior paint refresh,closed,8731,8218,2026-01-03,2026-03-19,false
WO-9042,P006,Restroom fixture replacement,closed,18994,19728,2025-12-31,2026-04-09,true
WO-9043,P006,Restroom fixture replacement,closed,11728,11984,2025-12-12,2026-04-07,false
WO-9044,P006,Parking lot crack sealing,closed,124422,106026,2025-12-31,2026-04-02,true
WO-9045,P007,Signage update — new tenant,open,2032,0,2025-12-03,,false
WO-9046,P007,Elevator modernization phase 1,closed,3684,3146,2026-01-21,2026-03-21,false
WO-9047,P007,Parking lot crack sealing,open,12234,0,2026-02-22,,false
WO-9048,P007,Parking lot crack sealing,open,12657,0,2026-03-02,,false
WO-9049,P007,Waterproofing — foundation wall,closed,12802,11226,2025-12-11,2026-02-17,false
WO-9050,P007,Roof membrane leak repair,open,145274,0,2026-04-04,,true
WO-9051,P007,Boiler efficiency tune-up,closed,10326,9623,2026-01-19,2026-01-21,false
WO-9052,P007,Boiler efficiency tune-up,closed,8473,8890,2025-12-23,2026-02-18,false
WO-9053,P007,Fire panel annual service,closed,3422,3479,2025-11-12,2025-12-20,false
WO-9054,P008,Security camera firmware upgrade,closed,12349,11718,2026-03-08,2026-03-17,false
WO-9055,P008,HVAC rooftop unit compressor replacement,closed,11541,11196,2025-12-17,2026-02-02,false
WO-9056,P008,Elevator modernization phase 1,closed,47248,41715,2026-01-10,2026-02-21,true
WO-9057,P008,Tenant buildout — new suite,open,9024,0,2026-01-25,,false
WO-9058,P008,Landscape irrigation overhaul,closed,96170,83409,2026-01-02,2026-02-10,true
WO-9059,P008,Security camera firmware upgrade,closed,3305,2904,2025-12-16,2026-04-02,false
WO-9060,P009,Roof membrane leak repair,in_progress,6215,0,2025-12-16,,false
WO-9061,P009,Exterior paint refresh,closed,156300,135109,2026-04-06,2026-04-19,true
WO-9062,P009,Fire panel annual service,closed,25823,25868,2025-11-05,2025-12-10,true
WO-9063,P009,Parking lot crack sealing,closed,28989,27119,2026-03-31,2026-04-21,true
WO-9064,P009,Security camera firmware upgrade,closed,375,339,2026-01-12,2026-03-11,false
WO-9065,P009,Security camera firmware upgrade,closed,7926,8210,2025-11-14,2026-01-29,false
WO-9066,P010,Tenant buildout — new suite,closed,4567,4514,2025-10-29,2026-03-11,false
WO-9067,P010,Waterproofing — foundation wall,open,12546,0,2025-11-02,,false
WO-9068,P010,Signage update — new tenant,in_progress,13203,0,2025-11-27,,false
WO-9069,P010,Fire panel annual service,in_progress,9362,0,2025-11-19,,false
WO-9070,P010,HVAC rooftop unit compressor replacement,closed,13445,12812,2026-03-12,2026-04-05,false
WO-9071,P010,Lobby lighting retrofit to LED,closed,8241,7349,2026-03-02,2026-03-19,false
WO-9072,P010,Boiler efficiency tune-up,open,57561,0,2026-02-19,,true
WO-9073,P010,Parking lot crack sealing,closed,8966,7996,2026-03-20,2026-04-17,false
WO-9074,P010,Restroom fixture replacement,closed,6554,7002,2026-03-05,2026-03-11,false
WO-9075,P010,Boiler efficiency tune-up,open,9160,0,2026-01-06,,false
WO-9076,P010,Fire panel annual service,open,6242,0,2026-02-25,,false
WO-9999,P003,Chiller replacement — Building A main loop,in_progress,185000,42000,2026-03-16,,true
